year,month,day,sazae_hand
2011,3,20,paper
2011,3,27,rock
2011,4,3,scissors
2011,4,10,scissors
2011,4,17,paper
2011,4,24,rock
2011,5,1,scissors
2011,5,8,paper
2011,5,15,paper
2011,5,22,rock
2011,5,29,rock
2011,6,5,scissors
2011,6,12,paper
2011,6,19,paper
2011,6,26,rock
2011,7,3,scissors
2011,7,10,rock
2011,7,17,paper
2011,7,24,scissors
2011,7,31,rock
2011,8,7,scissors
2011,8,14,rock
2011,8,21,paper
2011,8,28,paper
2011,9,4,scissors
2011,9,11,rock
2011,9,18,paper
2011,9,25,rock
2011,10,2,scissors
2011,10,9,rock
2011,10,16,scissors
2011,10,23,paper
2011,10,30,rock
2011,11,6,rock
2011,11,13,scissors
2011,11,20,paper
2011,11,27,paper
2011,12,4,scissors
2011,12,11,rock
2011,12,18,paper
2011,12,25,paper
2012,1,8,scissors
2012,1,15,rock
2012,1,22,rock
2012,1,29,scissors
2012,2,5,paper
2012,2,19,paper
2012,2,26,rock
2012,3,4,scissors
2012,3,11,rock
2012,3,18,paper
2012,3,25,paper
2012,4,1,scissors
2012,4,8,rock
2012,4,15,paper
2012,4,22,paper
2012,4,29,scissors
2012,5,6,rock
2012,5,13,scissors
2012,5,20,paper
2012,5,27,rock
2012,6,3,paper
2012,6,10,scissors
2012,6,17,rock
2012,6,24,paper
2012,7,1,scissors
2012,7,8,paper
2012,7,15,scissors
2012,7,22,scissors
2012,7,29,rock
2012,8,12,rock
2012,8,19,paper
2012,8,26,paper
2012,9,2,scissors
2012,9,9,rock
2012,9,16,paper
2012,9,23,paper
2012,9,30,rock
2012,10,7,scissors
2012,10,14,scissors
2012,10,21,paper
2012,10,28,rock
2012,11,4,rock
2012,11,11,paper
2012,11,18,scissors
2012,11,25,paper
2012,12,2,scissors
2012,12,9,rock
2012,12,23,scissors
2012,12,30,paper
2013,1,6,scissors
2013,1,13,rock
2013,1,20,rock
2013,1,27,paper
2013,2,3,scissors
2013,2,10,rock
2013,2,17,paper
2013,2,24,paper
2013,3,3,scissors
2013,3,10,rock
2013,3,17,scissors
2013,3,24,rock
2013,3,31,paper
2013,4,7,scissors
2013,4,14,paper
2013,4,21,scissors
2013,4,28,paper
2013,5,5,paper
2013,5,12,scissors
2013,5,19,rock
2013,5,26,rock
2013,6,2,scissors
2013,6,9,paper
2013,6,16,rock
2013,6,23,scissors
2013,6,30,paper
2013,7,7,scissors
2013,7,14,paper
2013,7,21,rock
2013,7,28,rock
2013,8,4,scissors
2013,8,11,paper
2013,8,25,paper
2013,9,1,scissors
2013,9,8,rock
2013,9,15,scissors
2013,9,22,paper
2013,9,29,paper
2013,10,6,scissors
2013,10,13,rock
2013,10,20,rock
2013,10,27,paper
2013,11,3,scissors
2013,11,10,scissors
2013,11,17,paper
2013,11,24,rock
2013,12,8,paper
2013,12,15,paper
2013,12,22,scissors
2014,1,5,scissors
2014,1,12,rock
2014,1,19,paper
2014,1,26,rock
2014,2,2,scissors
2014,2,9,paper
2014,2,16,scissors
2014,2,23,rock
2014,3,2,rock
2014,3,9,paper
2014,3,16,scissors
2014,3,23,paper
2014,3,30,rock
2014,4,6,scissors
2014,4,13,rock
2014,4,20,rock
2014,4,27,paper
2014,5,4,scissors
2014,5,11,paper
2014,5,18,rock
2014,5,25,paper
2014,6,1,scissors
2014,6,8,paper
2014,6,15,rock
2014,6,22,scissors
2014,6,29,paper
2014,7,6,scissors
2014,7,13,rock
2014,7,20,scissors
2014,7,27,scissors
2014,8,3,paper
2014,8,10,rock
2014,8,17,paper
2014,8,24,scissors
2014,8,31,paper
2014,9,7,rock
2014,9,14,scissors
2014,9,21,paper
2014,9,28,paper
2014,10,5,scissors
2014,10,12,rock
2014,10,19,rock
2014,10,26,scissors
2014,11,2,paper
2014,11,9,rock
2014,11,16,paper
2014,11,23,scissors
2014,11,30,rock
2014,12,7,scissors
2014,12,21,paper
2014,12,28,rock
2015,1,4,scissors
2015,1,11,scissors
2015,1,18,rock
2015,2,1,paper
2015,2,8,paper
2015,2,15,scissors
2015,2,22,rock
2015,3,1,scissors
2015,3,8,paper
2015,3,15,rock
2015,3,22,scissors
2015,3,29,rock
2015,4,5,scissors
2015,4,12,paper
2015,4,19,rock
2015,4,26,rock
2015,5,3,scissors
2015,5,10,paper
2015,5,17,rock
2015,5,24,paper
2015,5,31,scissors
2015,6,7,rock
2015,6,14,scissors
2015,6,21,paper
2015,6,28,paper
2015,7,5,scissors
2015,7,12,rock
2015,7,19,scissors
2015,7,26,scissors
2015,8,2,paper
2015,8,9,rock
2015,8,16,rock
2015,8,23,paper
2015,8,30,scissors
2015,9,6,rock
2015,9,13,scissors
2015,9,20,paper
2015,9,27,rock
2015,10,4,scissors
2015,10,11,rock
2015,10,18,paper
2015,10,25,paper
2015,11,1,scissors
2015,11,8,rock
2015,11,15,rock
2015,11,22,paper
2015,11,29,scissors
2015,12,6,rock
2015,12,13,paper
2015,12,20,paper
2016,1,10,scissors
2016,1,17,rock
2016,1,24,scissors
2016,1,31,rock
2016,2,7,paper
2016,2,14,scissors
2016,2,21,scissors
2016,2,28,rock
2016,3,6,paper
2016,3,13,paper
2016,3,20,rock
2016,3,27,scissors
2016,4,3,paper
2016,4,10,rock
2016,4,17,rock
2016,4,24,scissors
2016,5,1,scissors
2016,5,8,paper
2016,5,15,paper
2016,5,22,rock
2016,5,29,paper
2016,6,5,scissors
2016,6,12,rock
2016,6,19,paper
2016,6,26,rock
2016,7,3,scissors
2016,7,10,scissors
2016,7,17,paper
2016,7,24,scissors
2016,7,31,rock
2016,8,7,rock
2016,8,14,scissors
2016,8,21,paper
2016,8,28,scissors
2016,9,4,paper
2016,9,11,rock
2016,9,18,rock
2016,9,25,paper
2016,10,2,scissors
2016,10,9,rock
2016,10,16,scissors
2016,10,30,paper
2016,11,6,scissors
2016,11,13,rock
2016,11,20,rock
2016,11,27,paper
2016,12,4,paper
2016,12,11,scissors
2016,12,18,rock
2016,12,25,paper
2017,1,8,scissors
2017,1,15,scissors
2017,1,22,paper
2017,1,29,rock
2017,2,5,rock
2017,2,12,paper
2017,2,19,scissors
2017,2,26,scissors
2017,3,5,rock
2017,3,12,paper
2017,3,26,scissors
2017,4,2,scissors
2017,4,9,rock
2017,4,16,paper
2017,4,23,paper
2017,4,30,scissors
2017,5,7,rock
2017,5,14,paper
2017,5,21,scissors
2017,5,28,rock
2017,6,4,scissors
2017,6,11,paper
2017,6,18,rock
2017,6,25,rock
2017,7,2,scissors
2017,7,9,paper
2017,7,16,rock
2017,7,23,paper
2017,7,30,scissors
2017,8,6,paper
2017,8,13,rock
2017,8,20,scissors
2017,8,27,rock
2017,9,3,paper
2017,9,10,paper
2017,9,17,scissors
2017,9,24,rock
2017,10,8,scissors
2017,10,15,paper
2017,10,22,rock
2017,11,5,scissors
2017,11,12,scissors
2017,11,19,rock
2017,11,26,paper
2017,12,3,paper
2017,12,10,scissors
2017,12,17,rock
2017,12,24,paper
2018,1,7,scissors
2018,1,14,rock
2018,1,21,scissors
2018,1,28,rock
2018,2,4,paper
2018,2,11,rock
2018,2,18,scissors
2018,2,25,scissors
2018,3,4,paper
2018,3,11,rock
2018,3,18,rock
2018,3,25,scissors
2018,4,1,scissors
2018,4,8,rock
2018,4,15,paper
2018,4,22,paper
2018,4,29,scissors
2018,5,6,rock
2018,5,13,scissors
2018,5,20,paper
2018,5,27,rock
2018,6,3,scissors
2018,6,10,rock
2018,6,17,paper
2018,6,24,paper
2018,7,1,scissors
2018,7,8,rock
2018,7,15,paper
2018,7,22,rock
2018,7,29,scissors
2018,8,5,scissors
2018,8,12,paper
2018,8,19,rock
2018,8,26,rock
2018,9,2,paper
2018,9,9,scissors
2018,9,16,rock
2018,9,23,scissors
2018,9,30,paper
2018,10,7,scissors
2018,10,14,rock
2018,10,21,paper
2018,11,4,paper
2018,11,11,scissors
2018,11,18,scissors
2018,11,25,rock
2018,12,2,rock
2018,12,9,paper
2018,12,16,scissors
2019,1,6,scissors
2019,1,13,paper
2019,1,20,rock
2019,1,27,scissors
2019,2,3,rock
2019,2,10,paper
2019,2,17,paper
2019,2,24,scissors
2019,3,3,scissors
2019,3,10,rock
2019,3,17,scissors
2019,3,24,paper
2019,3,31,rock
2019,4,7,scissors
2019,4,14,scissors
2019,4,21,rock
2019,4,28,paper
2019,5,5,scissors
2019,5,12,paper
2019,5,19,rock
2019,5,26,rock
2019,6,2,scissors
2019,6,9,paper
2019,6,16,rock
2019,6,23,scissors
2019,6,30,paper
2019,7,7,scissors
2019,7,14,rock
2019,7,21,scissors
2019,7,28,paper
2019,8,4,paper
2019,8,11,rock
2019,8,18,scissors
2019,8,25,rock
2019,9,1,scissors
2019,9,8,paper
2019,9,15,rock
2019,9,22,paper
2019,9,29,scissors
2019,10,6,scissors
2019,10,13,rock
2019,10,20,paper
2019,10,27,rock
2019,11,3,scissors
2019,11,10,paper
2019,11,17,scissors
2019,11,24,scissors
2019,12,1,rock
2019,12,8,paper
2019,12,15,rock
2019,12,22,scissors
2019,12,29,paper
2020,1,5,scissors
2020,1,12,rock
2020,1,26,paper
2020,2,2,scissors
2020,2,9,paper
2020,2,16,paper
2020,2,23,rock
2020,3,1,scissors
2020,3,8,rock
2020,3,15,scissors
2020,3,22,paper
2020,3,29,rock
2020,4,5,scissors
2020,4,12,scissors
2020,4,19,paper
2020,4,26,rock
2020,5,3,scissors
2020,5,10,paper
2020,5,17,paper
2020,5,24,paper
2020,5,31,paper
2020,6,7,paper
2020,6,14,scissors
2020,6,21,paper
2020,6,28,rock
2020,7,5,scissors
2020,7,12,rock
2020,7,19,rock
2020,7,26,paper
2020,8,2,scissors
2020,8,9,paper
2020,8,16,rock
2020,8,23,scissors
2020,8,30,rock
2020,9,6,scissors
2020,9,13,paper
2020,9,20,paper
2020,9,27,rock
2020,10,4,scissors
2020,10,11,paper
2020,10,18,scissors
2020,10,25,rock
2020,11,1,scissors
2020,11,8,rock
2020,11,15,paper
2020,11,22,paper
2020,11,29,scissors
2020,12,6,rock
2020,12,13,rock
2020,12,20,paper
2020,12,27,scissors
2021,1,10,scissors
2021,1,17,paper
2021,1,24,rock
2021,1,31,rock
2021,2,7,scissors
2021,2,14,scissors
2021,2,21,paper
2021,2,28,scissors
2021,3,7,rock
2021,3,21,paper
2021,3,28,rock
2021,4,4,scissors
2021,4,11,paper
2021,4,18,rock
2021,4,25,rock
2021,5,2,scissors
2021,5,9,paper
2021,5,16,scissors
2021,5,23,scissors
2021,5,30,rock
2021,6,6,scissors
2021,6,13,paper
2021,6,20,paper
2021,6,27,rock
2021,7,4,scissors
2021,7,11,rock
2021,7,18,scissors
2021,7,25,paper
2021,8,1,rock
2021,8,8,scissors
2021,8,15,paper
2021,8,22,paper
2021,8,29,rock
2021,9,5,scissors
2021,9,12,scissors
2021,9,19,rock
2021,9,26,paper
2021,10,3,rock
2021,10,10,scissors
2021,10,17,paper
2021,10,24,paper
2021,10,31,scissors
2021,11,7,rock
2021,11,14,rock
2021,11,21,scissors
2021,11,28,paper
2021,12,5,scissors
2021,12,12,rock
2021,12,19,rock
2021,12,26,paper
2022,1,9,scissors
2022,1,16,paper
2022,1,23,scissors
2022,2,6,rock
2022,2,13,scissors
2022,2,20,paper
2022,2,27,rock
2022,3,6,rock
2022,3,13,scissors
2022,3,20,scissors
2022,3,27,paper
2022,4,3,scissors
2022,4,10,rock
2022,4,17,rock
2022,4,24,paper
2022,5,8,scissors
2022,5,15,scissors
2022,5,22,rock
2022,5,29,scissors
2022,6,5,paper
2022,6,12,scissors
2022,6,19,rock
2022,6,26,paper
2022,7,3,scissors
2022,7,10,paper
2022,7,17,scissors
2022,7,24,rock
2022,7,31,scissors
2022,8,7,scissors
2022,8,14,paper
2022,8,21,rock
2022,8,28,rock
2022,9,4,scissors
2022,9,11,paper
2022,9,18,rock
2022,9,25,paper
2022,10,2,scissors
2022,10,9,rock
2022,10,16,scissors
2022,10,23,paper
2022,11,6,scissors
2022,11,13,rock
2022,11,20,rock
2022,11,27,paper
2022,12,4,scissors
2022,12,11,paper
2022,12,18,paper
2022,12,25,rock
2023,1,8,scissors
2023,1,15,scissors
2023,1,22,paper
2023,1,29,rock
2023,2,5,paper
2023,2,12,scissors
2023,2,19,paper
2023,2,26,scissors
2023,3,5,paper
2023,3,12,rock
2023,3,19,rock
2023,3,26,paper
2023,4,2,scissors
2023,4,9,scissors
2023,4,16,paper
2023,4,23,rock
2023,4,30,scissors
2023,5,7,paper
2023,5,14,rock
2023,5,21,paper
2023,5,28,paper
2023,6,4,scissors
2023,6,11,rock
2023,6,18,scissors
2023,6,25,rock
2023,7,2,paper
2023,7,9,rock
2023,7,16,scissors
2023,7,23,scissors
2023,7,30,rock
2023,8,6,paper
2023,8,13,rock
2023,8,20,paper
2023,8,27,scissors
2023,9,3,scissors
2023,9,10,rock
2023,9,17,paper
2023,9,24,rock
2023,10,1,scissors
2023,10,8,scissors
2023,10,15,scissors
2023,10,22,paper
2023,10,29,rock
2023,11,12,scissors
2023,11,19,rock
2023,11,26,paper
2023,12,3,paper
2023,12,10,scissors
2023,12,17,rock
2023,12,24,scissors
2023,12,31,scissors
2024,1,7,scissors
2024,1,14,paper
2024,1,21,rock
2024,1,28,rock
2024,2,4,scissors
2024,2,11,paper
2024,2,18,paper
2024,2,25,rock
2024,3,3,scissors
2024,3,10,scissors
2024,3,17,paper
2024,3,31,rock
2024,4,7,scissors
2024,4,14,rock
2024,4,21,paper
2024,4,28,scissors
2024,5,5,paper
2024,5,12,rock
2024,5,19,paper
2024,5,26,scissors
2024,6,2,paper
2024,6,9,rock
2024,6,16,rock
2024,6,23,scissors
2024,6,30,paper
2024,7,7,scissors
2024,7,14,rock
2024,7,21,scissors
2024,7,28,paper
2024,8,4,paper
2024,8,11,rock
2024,8,18,scissors
2024,8,25,rock
2024,9,1,scissors
2024,9,8,paper
2024,9,15,scissors
2024,9,22,rock
2024,9,29,rock
2024,10,6,scissors
2024,10,13,paper
2024,10,20,paper
2024,10,27,scissors
2024,11,3,rock
2024,11,10,rock
2024,11,17,paper
2024,11,24,scissors
2024,12,1,scissors
2024,12,8,paper
2024,12,15,rock
2024,12,22,rock
2024,12,29,scissors
2025,1,12,scissors
2025,1,19,paper
2025,1,26,rock
2025,2,2,paper
2025,2,9,scissors
2025,2,16,paper
2025,2,23,paper
2025,3,2,rock
2025,3,9,scissors
2025,3,16,rock
2025,3,23,paper
2025,3,30,rock
2025,4,6,scissors
2025,4,13,rock
2025,4,20,paper
2025,4,27,paper
2025,5,4,scissors
2025,5,11,rock
2025,5,18,scissors
2025,5,25,rock
2025,6,1,scissors
2025,6,8,scissors
2025,6,15,rock
2025,6,22,scissors
2025,6,29,scissors
2025,7,6,rock
2025,7,13,paper
2025,7,20,paper
2025,7,27,paper
2025,8,3,rock
2025,8,10,rock
2025,8,17,rock
2025,8,24,paper
2025,8,31,scissors
2025,9,7,scissors
2025,9,14,rock
2025,9,21,rock
2025,9,28,paper
2025,10,5,rock
2025,10,12,scissors
2025,10,19,rock
2025,11,2,scissors
2025,11,9,scissors
2025,11,16,paper
2025,11,23,scissors
2025,11,30,rock
2025,12,7,paper
2025,12,14,scissors
2025,12,21,rock
2025,12,28,paper
2026,1,4,rock
2026,1,11,paper
2026,1,18,scissors
2026,1,25,paper
2026,2,1,rock
2026,2,8,scissors
2026,2,15,paper
2026,2,22,scissors
2026,3,1,rock
2026,3,8,paper
2026,3,15,rock
2026,3,22,scissors
2026,4,5,scissors
2026,4,12,paper
2026,4,19,rock
2026,4,26,paper
2026,5,3,rock
2026,5,10,rock
2026,5,17,rock
2026,5,24,scissors
2026,5,31,rock
2026,6,7,paper
2026,6,14,rock
2026,6,21,paper
2026,6,28,scissors
2026,7,5,scissors
